Country,ISO_code,Confirmed,Deaths,Recovered,Active,Population,Tests
Afghanistan,AFG,36471,1271,25389,9811,38041754,
Albania,ALB,5105,150,2830,2125,2854191,
Algeria,DZA,29229,1186,19592,8451,43053054,
Andorra,AND,918,52,804,62,77142,
Angola,AGO,1078,48,301,729,31825295,
Antigua and Barbuda,ATG,91,3,67,21,97118,
Argentina,ARG,178996,3288,77855,97853,44938712,560862
Armenia,ARM,37937,723,27824,9390,2957731,
Australia,AUS,16298,189,9619,6490,25364307,2701600
Austria,AUT,20850,716,18528,1606,8877067,583329
Azerbaijan,AZE,31221,438,24495,6288,10023318,
Bahamas,BHS,484,11,91,382,389482,
Bahrain,BHR,40311,144,36920,3247,1641172,808276
Bangladesh,BGD,232194,3035,130292,98867,163046161,761911
Barbados,BRB,110,7,95,8,287025,
Belarus,BLR,67518,548,61442,5528,9466856,850992
Belgium,BEL,67335,9836,17491,40008,11484055,1211031
Belize,BLZ,48,2,27,19,390353,
Benin,BEN,1805,36,1036,733,11801151,
Bhutan,BTN,99,0,86,13,763092,
Bolivia,BOL,73534,2808,22506,48220,11513100,139866
Bosnia and Herzegovina,BIH,11127,316,5441,5370,3301000,
Botswana,BWA,804,2,63,739,2303697,
Brazil,BRA,2552265,90134,1922802,539329,211049527,
Brunei,BRN,141,3,138,0,433285,
Bulgaria,BGR,11155,368,5971,4816,6975761,166455
Burkina Faso,BFA,1105,53,931,121,20321378,
Myanmar,MMR,351,6,294,51,54045420,74658
Burundi,BDI,387,1,304,82,11530580,
Cabo Verde,CPV,2373,23,1694,656,549935,
Cambodia,KHM,226,0,147,79,16486542,
Cameroon,CMR,17255,391,15320,1544,25876380,
Canada,CAN,117357,8962,101992,6404,37589262,3863930
Central African Republic,CAF,4605,59,1574,2972,4745185,
Chad,TCD,926,75,813,38,15946876,
Chile,CHL,351575,9278,324557,17740,18952038,1059198
China,CHN,87680,4665,81034,1981,1397715000,
Colombia,COL,276055,9454,142777,123824,50339443,944155
Comoros,COM,378,7,330,41,850886,
Congo (Brazzaville),COG,3200,54,829,2317,5380508,
Congo (Kinshasa),COD,8931,210,6095,2626,86790567,980586
Costa Rica,CRI,16800,133,4050,12617,5047561,71428
