"iso_code","country","continent","confirmed","confirmed_per_mil","deaths","deaths_per_mil","tests_performed","gdp_pc","median_age","aged_65_older","diab_prev","cardio_dr","hosp_beds_per_thou","hdi","overwgh_prev","gdp_pc_er"
"ARE","United Arab Emirates","AS",79489,8036.9849,399,40.341999,8127417,67119.133,34,1.1565495,16.299999,317.84,1.2,0.866,65.900002,66058.3329698433
"ARG","Argentina","SAM",546468,12091.13,11307,250.17799,1582041,22033.945,31.9,11.243108,5.9000001,191.032,5,0.83,63.400002,20393.6668572235
"AUS","Australia","OC",26651,1045.142,810,31.764999,7016090,49756.309,37.900002,15.921202,5.5999999,107.791,3.84,0.938,67.199997,49700.6090572088
"AUT","Austria","EU",33335,3701.2571,756,83.940002,1351408,56352.445,44.400002,19.075605,6.5999999,145.183,7.37,0.914,58.099998,54594.3753381597
"BEL","Belgium","EU",93361,8055.5732,9925,856.37,2627996,51707.793,41.799999,19.006567,4.5999999,114.898,5.64,0.919,64.099998,52381.0871752884
"BGD","Bangladesh","AS",337520,2049.4341,4733,28.739,1715481,4753.7261,27.5,5.1803513,9.1999998,298.00299,0.8,0.614,19,3871.25698505285
"BGR","Bulgaria","EU",17918,2578.7061,720,103.62,464657,23091.342,44.700001,21.252968,6,424.68799,7.454,0.816,66.300003,22033.4341214783
"BLR","Belarus","EU",74173,7849.5591,750,79.371002,1654618,19149.639,40.299999,15.200841,5,443.129,11,0.817,62.900002,20259.8461529124
"BOL","Bolivia","SAM",126791,10861.877,7344,629.14301,263901,8724.4756,25.4,7.3386316,6.8000002,204.299,1.1,0.703,53.200001,8705.03089995181
"BRA","Brazil","SAM",4330455,20372.916,131625,619.23901,5600000,14651.616,33.5,9.2516079,10.4,177.961,2.2,0.761,56.900002,14653.464390319
"CAN","Canada","NAM",136659,3620.8579,9171,242.991,10047737,49031.379,41.400002,17.647898,7.5999999,105.599,2.5,0.922,67.5,48469.028119745
"CHE","Switzerland","EU",47068,5438.4839,1746,201.742,1186824,68627.828,43.099998,18.837996,5.6999998,99.738998,4.53,0.946,57.900002,68394.6681372726
"CHL","Chile","SAM",434748,22742.375,11949,625.07202,2828129,24226.15,35.400002,11.88154,8.6000004,127.993,2.11,0.847,64.400002,23580.0767700487
"CIV","Cote d'Ivoire","AF",19013,720.78302,120,4.5489998,141462,5238.2607,18.700001,2.8731194,2.4000001,303.73999,NA,0.516,28.700001,6079.21135141186
"COL","Colombia","SAM",716319,14077.799,22924,450.52499,2896974,14730.885,32.200001,8.76583,7.4000001,124.24,1.71,0.761,58.599998,14868.8600840647
