t,a,b,c,d,e,f,g,h,i
1980,7616.96,30.85,23.30,0.06,33.90,-5.40,1.20,21.22,44.60
1981,8266.35,31.07,22.53,0.07,18.87,11.34,0.90,21.22,44.60
1982,8223.30,27.30,21.60,0.12,-35.69,22.64,4.20,21.22,44.60
1983,7936.60,24.18,25.42,0.24,-36.99,14.19,6.10,21.22,44.60
1984,8207.30,23.73,23.28,0.39,18.46,5.84,5.60,21.22,44.60
1985,8386.85,25.03,22.96,0.62,12.37,-4.46,4.40,21.22,44.60
1986,8128.62,22.14,18.58,1.15,-7.60,4.56,4.30,21.22,44.60
1987,8268.63,23.82,23.85,2.66,3.63,9.47,3.88,21.22,44.60
1988,8374.74,23.13,19.29,5.68,36.70,5.67,3.54,21.22,44.60
1989,8718.57,23.28,18.42,6.81,18.44,5.76,2.93,21.22,44.60
1990,9169.82,23.50,18.37,8.63,19.50,5.08,2.74,20.96,44.60
1991,9556.30,23.75,16.87,10.58,15.28,5.11,2.69,22.88,44.60
1992,9894.70,23.78,14.93,12.22,19.86,4.95,2.83,22.54,44.60
1993,10165.57,23.02,16.20,13.42,16.03,9.27,3.43,17.71,44.60
1994,10667.86,24.92,16.79,14.35,18.10,8.80,3.70,17.50,44.60
1995,9996.72,20.97,20.52,19.39,-15.94,20.20,6.23,17.50,44.60
1996,10673.83,21.57,20.95,26.05,17.48,15.45,5.45,18.03,44.73
1997,11404.65,22.60,21.06,31.41,23.11,9.39,3.73,18.06,40.92
1998,11993.57,23.69,20.65,36.41,14.80,7.40,3.16,15.87,42.04
1999,12323.82,22.58,20.24,42.44,11.51,5.43,2.50,16.46,43.82
2000,12932.92,22.96,20.31,46.47,20.30,11.57,2.20,17.51,40.31
2001,12880.62,20.84,18.52,49.43,-0.84,-0.52,2.77,17.86,39.26
2002,12875.49,20.71,18.98,51.92,1.21,0.40,2.98,18.46,41.86
2003,13061.72,21.10,20.33,54.28,2.51,1.91,3.40,20.22,44.23
2004,13573.82,22.12,21.40,56.83,6.48,9.87,3.92,20.02,40.76
2005,13887.07,21.64,20.77,59.09,5.38,6.32,3.48,20.62,38.52
2006,14511.31,22.82,22.46,61.24,8.69,7.81,3.53,21.29,37.42
2007,14843.83,23.12,22.18,63.67,4.83,1.97,3.61,22.06,37.21
2008,15013.58,24.11,22.59,66.94,3.28,-1.02,3.89,27.02,42.49
2009,14220.00,22.89,22.02,70.48,-15.95,-10.86,5.33,23.67,43.68
2010,14947.80,22.79,22.33,73.41,17.06,22.36,5.27,23.70,41.96
2011,15495.33,23.28,22.27,75.91,5.62,7.71,5.17,24.38,42.86
2012,16059.72,23.89,22.33,79.03,5.42,6.53,4.89,24.49,42.65
2013,16277.19,22.49,20.02,82.04,2.12,1.37,4.90,24.07,45.90
2014,16741.05,21.87,19.94,85.34,5.92,6.98,4.82,23.42,48.85
2015,17292.36,23.31,20.66,87.66,5.92,8.41,4.35,23.50,52.78
2016,17747.24,23.62,21.36,90.13,2.85,3.58,3.88,24.59,56.72
2017,18122.26,22.91,21.14,95.57,6.36,4.16,3.42,24.64,53.96
2018,18521.32,22.72,20.64,100.26,5.86,5.94,3.33,23.46,53.61
2019,18465.01,21.35,21.01,103.90,-0.94,1.44,3.49,24.08,53.75
