"","alpha","efe_1","T","y_2","final_reg_quant","gamma_0","gamma_1","predicted"
"1",-12.5313504796577,88.5798752964633,"t4900",-1.94733053939957,-3.10847108942592,-3.41536240126865,0.00495859958660626,-2.97613026824197
"2",-0.417640379668047,-17.8793269385571,"t4901",-1.11323114454959,-3.47633833589216,-3.4166383622196,0.00489803671189839,-3.50421196194869
"3",-5.33338056825602,38.4171886940662,"t4902",-2.89267812319311,-3.28180706234666,-3.4202259771479,0.00493546982730453,-3.23061910149847
"4",-2.13817646146276,-59.4298827974076,"t4903",-2.54726412135065,-3.61991529544136,-3.40790134888754,0.0047205407732504,-3.68844253378219
"5",-5.31918851901023,-70.9689707539925,"t4904",-193.720191989079,-3.65978833998992,-3.41287056243103,0.00479655122175823,-3.75327686580802
"6",-9.45920248882114,-43.1028715195418,"t4905",-0.0933093203262496,-3.56349769549962,-3.40206197094115,0.00480982734967635,-3.60937934122543
"7",3.32718543599059,-76.5879139294045,"t4906",-207.952113256594,-3.67920446476441,-3.41114239431927,0.00492904870443395,-3.7886479522483
"8",7.86973943805345,144.639689175212,"t4907",16.1966462364292,-2.9147577331727,-3.40573530873664,0.00482126153431513,-2.7083895389809
"9",-3.17951806817585,47.6663575142785,"t4908",-2.19591920376474,-3.24984677902158,-3.40415339726761,0.00477813146848337,-3.17639727444066
"10",2.89826656549642,165.340730002751,"t4909",-2.12329158936192,-2.84322577794162,-3.40720338175011,0.00480861744076012,-2.61214306379087
"11",-3.17924356291934,198.070078189816,"t4910",-2.58004223132622,-2.73013029212696,-3.41753724145972,0.00494214049321701,-2.43864708754317
"12",-1.89269069895942,-55.84514447732,"t4911",-2.36616177037943,-3.60752831726166,-3.4121357937394,0.00491901763338977,-3.68683904416253
"13",-6.40744750796798,66.6988373376789,"t4912",0.0284065631937738,-3.18408049673626,-3.4142102162782,0.00492987508357193,-3.08539327998396
"14",4.48413142894449,3.92015206509765,"t4913",-2.80262171860498,-3.40101075361543,-3.41465706738981,0.00488069431225245,-3.39552400350253
"15",-9.38711638811008,-44.3842523615922,"t4914",-2.1664319779422,-3.56792547658518,-3.41103083523024,0.00489014010890617,-3.62807604790748
"16",2.69069314872766,35.4933594364302,"t4915",-0.0686363375262531,-3.29191028494802,-3.40379121486353,0.00487955709038602,-3.23059934116387
"17",4.22846447477774,-104.531608913525,"t4916",-2.71965799567093,-3.77576323952592,-3.41610794009684,0.00491765905112553,-3.93015875279915
"18",-1.78876802786744,-75.6964854987084,"t4917",0.972885731355603,-3.6761241549806,-3.41073380795939,0.0048993389111654,-3.78159654480168
"19",-0.460005010576546,-142.64331392764,"t4918",-0.350651981807442,-3.9074573316038,-3.41150369470533,0.00495864937286296,-4.11882187385572
"20",-1.38980639452177,-44.4995424861446,"t4919",-2.81970182815575,-3.56832385887411,-3.41167809700988,0.00500508771524191,-3.63440221044116
"21",3.11795321420248,49.9722990967169,"t4920",-1.40526251261782,-3.24187865261602,-3.40920611959812,0.00503042353107214,-3.15782429032022
